DateTime,Heavy_Vehicle,Commercial_Vehicle,Light_Vehicle,All_Vehicle,CongestionIndex,CO2Equivalent,AverageVehicleSpeed
2024-03-15 05:00:00,61.145614550684826,3.3969785861491566,0.0,57.748635964535666,0.23486109677063116,0.004860893901811431,66.04
2024-03-15 06:00:00,129.6864111039767,7.204800616887594,0.0,122.4816104870891,0.6461688291668868,0.010309682706035867,49.14
2024-03-15 07:00:00,111.48914254099896,6.1938412522777195,0.0,105.29530128872123,0.5392931493330563,0.00886305415487328,52.56
2024-03-15 08:00:00,70.99536265183303,3.944186813990724,0.0,67.05117583784231,0.2757309463131855,0.005643919484775561,63.269999999999996
2024-03-15 09:00:00,58.63385721473682,3.257436511929823,0.0,55.376420702806996,0.21825876662636023,0.004661216688541799,66.16
2024-03-15 10:00:00,61.20790037213787,3.400438909563215,0.0,57.80746146257466,0.24264662834187867,0.004865845438759667,64.87
2024-03-15 11:00:00,58.89872461679697,3.2721513675998315,0.0,55.626573249197136,0.22638805386486638,0.004682272856656612,65.72999999999999
2024-03-15 12:00:00,55.241390812875025,3.0689661562708346,0.0,52.172424656604186,0.19353527989188418,0.004391525732516802,67.53999999999999
2024-03-15 13:00:00,51.18186932100888,2.8434371845004933,0.0,48.33843213650839,0.17693167447029873,0.004068805887290165,68.52
2024-03-15 14:00:00,53.332051220863754,2.962891734492431,0.0,50.36915948637132,0.1769923149362661,0.004239738932310526,68.49
2024-03-15 15:00:00,60.373651730054036,3.3540917627807794,0.0,57.01955996727325,0.24264662834187867,0.004799525161063573,64.87
2024-03-15 16:00:00,62.362488249808315,3.4645826805449063,0.0,58.89790556926341,0.2507759155803848,0.004957631729811195,64.44
2024-03-15 17:00:00,58.06447597471313,3.225804220817396,0.0,54.83867175389574,0.22638805386486638,0.004615952578960518,65.72999999999999
2024-03-15 18:00:00,54.96330793218041,3.0535171073433562,0.0,51.90979082483705,0.19353527989188418,0.00436941897328477,67.53999999999999
2024-03-15 19:00:00,50.384861251776066,2.7991589584320034,0.0,47.58570229334406,0.16038870951468065,0.004005446124012017,69.47
2024-03-15 20:00:00,38.36428783800769,2.1313493243337605,0.0,36.23293851367393,0.1357656756241662,0.003049846406311431,70.97999999999999
2024-03-15 21:00:00,48.67219551989231,2.7040108622162395,0.0,45.96818465767607,0.1605339305533534,0.0038692943088224864,69.55
2024-03-15 22:00:00,53.29481064801274,2.9608228137784853,0.0,50.33398783423426,0.18529411764705883,0.004236778417892581,17.0
2024-03-15 23:00:00,62.362488249808315,3.4645826805449063,0.0,58.89790556926341,0.2507759155803848,0.004957631729811195,16.11
2024-03-16 00:00:00,57.74413673912652,3.2080075966181396,0.0,54.53612914250838,0.21825876662636023,0.004590486565605085,16.54
2024-03-16 01:00:00,49.04410094543769,2.7246722747465384,0.0,46.31942867069115,0.15208690680388792,0.00389885968040912,17.49
2024-03-16 02:00:00,0.0,0.0,0.0,0.0,0.08625336927223715,0.0,18.55
2024-03-16 03:00:00,0.0,0.0,0.0,0.0,0.05387029288702916,0.0,19.12
2024-03-16 04:00:00,0.0,0.0,0.0,0.0,0.020770010131712313,0.0,78.96
2024-03-16 05:00:00,30.973739022614637,1.7207632790341465,0.0,29.25297574358049,0.11945671830751775,0.002462319828456773,72.21000000000001
2024-03-16 06:00:00,65.69958285788613,3.649976825438118,0.0,62.04960603244801,0.3085986144711394,0.0052229207934565884,61.64
2024-03-16 07:00:00,61.10415211408288,3.3946751174490486,0.0,57.70947699663383,0.2512009592930263,0.004857597761823081,64.53
2024-03-16 08:00:00,49.514304102092,2.750794672338444,0.0,46.763509429753555,0.14392629121402706,0.003936239428304185,70.47
2024-03-16 09:00:00,48.54941955205088,2.6971899751139374,0.0,45.85222957693694,0.14392629121402706,0.0038595339857354603,70.47
2024-03-16 10:00:00,49.04410094543769,2.7246722747465384,0.0,46.31942867069115,0.15208690680388792,0.00389885968040912,69.96
2024-03-16 11:00:00,49.04410094543769,2.7246722747465384,0.0,46.31942867069115,0.15208690680388792,0.00389885968040912,69.96
2024-03-16 12:00:00,48.30207885535747,2.683448825297637,0.0,45.61863003005983,0.14392629121402706,0.0038398711383986297,70.47
2024-03-16 13:00:00,45.828671888423436,2.546037327134635,0.0,43.2826345612888,0.12760506003430533,0.0036432426650303317,71.49
2024-03-16 14:00:00,48.05473815866407,2.6697076754813374,0.0,45.38503048318273,0.14392629121402706,0.003820208291061801,70.47
2024-03-16 15:00:00,52.23213322236898,2.9017851790204987,0.0,49.33034804334848,0.1769923149362661,0.004152298733521716,68.49
2024-03-16 16:00:00,53.29481064801274,2.9608228137784853,0.0,50.33398783423426,0.18529411764705883,0.004236778417892581,68.0
